1New York city, NY8,175,133
2Los Angeles city, CA3,792,621
3Chicago city, IL2,695,598
4Houston city, TX2,099,451
5Philadelphia city, PA1,526,006
6Phoenix city, AZ1,445,632
7San Antonio city, TX1,327,407
8San Diego city, CA1,307,402
9Dallas city, TX1,197,816
10San Jose city, CA945,942
11Jacksonville city, FL821,784
12Indianapolis city (balance), IN820,445
13San Francisco city, CA805,235
14Austin city, TX790,390
15Columbus city, OH787,033
16Fort Worth city, TX741,206
17Charlotte city, NC731,424
18Detroit city, MI713,777
19El Paso city, TX649,121
20Memphis city, TN646,889
21Baltimore city, MD620,961
22Boston city, MA617,594
23Seattle city, WA608,660
24Washington city, DC601,723
25Nashville-Davidson metropolitan government (balance), TN601,222
26Denver city, CO600,158
27Louisville/Jefferson County metropolitan government (balance), KY597,337
28Milwaukee city, WI594,833
29Portland city, OR583,776
30Las Vegas city, NV583,756
31Oklahoma City city, OK579,999
32Albuquerque city, NM545,852
33Tucson city, AZ520,116
34Fresno city, CA494,665
35Sacramento city, CA466,488
36Long Beach city, CA462,257
37Kansas City city, MO459,787
38Mesa city, AZ439,041
39Virginia Beach city, VA437,994
40Atlanta city, GA420,003
41Colorado Springs city, CO416,427
42Omaha city, NE408,958
43Raleigh city, NC403,892
44Miami city, FL399,457
45Cleveland city, OH396,815
46Tulsa city, OK391,906
47Oakland city, CA390,724
48Minneapolis city, MN382,578
49Wichita city, KS382,368
50San Juan zona urbana, PR381,931
